"","Ship_code","ArrivalRegion","DisVol"
"1",2121,"Pacific",1060620
"2",2121.1,"Pacific",1060620
"3",2121.2,"Pacific",1060620
"4",9418,"Atlantic",335390
"5",9418.1,"Atlantic",335390
"6",9418.2,"Atlantic",335390
"7",1954,"Pacific",276270
"8",1954.1,"Pacific",276270
"9",9678,"Atlantic",121350
"10",9678.1,"Atlantic",121350
"11",9701,"Atlantic",112768
"12",9701.1,"Atlantic",112768
"13",9709,"Atlantic",112768
"14",9701.2,"Atlantic",112768
"15",9709.1,"Atlantic",112768
"16",9709.2,"Atlantic",112768
"17",9701.3,"Atlantic",112768
"18",9712,"Atlantic",99176
"19",9712.1,"Atlantic",99176
"20",9712.2,"Atlantic",99176
"21",9712.3,"Atlantic",99176
"22",9712.4,"Atlantic",99176
"23",9712.5,"Atlantic",99176
"24",9695,"Atlantic",97728
"25",8365,"Pacific",91983
"26",8365.1,"Pacific",91983
"27",8365.2,"Pacific",91983
"28",9716,"Atlantic",90883
"29",9716.1,"Atlantic",90883
"30",9716.2,"Atlantic",90883
"31",1770,"Atlantic",85906
"32",1770.1,"Atlantic",85906
"33",1770.2,"Atlantic",85906
"34",9669,"Atlantic",85748
"35",9702,"Atlantic",85748
"36",9715,"Atlantic",85748
"37",9715.1,"Atlantic",85748
"38",9702.1,"Atlantic",85748
"39",9669.1,"Atlantic",85748
"40",9715.2,"Atlantic",85748
"41",9713,"Atlantic",85748
"42",9669.2,"Atlantic",85748
"43",9715.3,"Atlantic",85748
"44",9713.1,"Atlantic",85748
"45",9659,"Atlantic",85748
"46",9659.1,"Atlantic",85748
"47",9659.2,"Atlantic",85748
"48",9659.3,"Atlantic",85748
"49",9691,"Atlantic",85748
"50",9702.2,"Atlantic",85748
"51",9702.3,"Atlantic",85748
"52",9691.1,"Atlantic",85748
"53",9682,"Atlantic",85746
"54",9682.1,"Atlantic",85746
"55",9682.2,"Atlantic",85746
"56",9682.3,"Atlantic",85746
"57",9682.4,"Atlantic",85746
"58",9682.5,"Atlantic",85746
"59",9682.6,"Atlantic",85746
"60",1767,"Atlantic",85538
"61",1767.1,"Atlantic",85538
"62",1767.2,"Atlantic",85538
"63",1767.3,"Atlantic",85538
"64",1767.4,"Atlantic",85538
"65",1760,"Atlantic",85478
"66",1760.1,"Atlantic",85478
